person_id,season,contract_type,total_value,guaranteed_value,current_salary,cap_hit,years_remaining,as_of_date,source,source_url,salary,guaranteed,player_option,team_option,early_termination_option
1630532,2026-27,NBA contract,,,41754636,41754636,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,41754636,,0,0,0
1630532,2027-28,NBA contract,,,41754636,41754636,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,44847572,,0,0,0
1630532,2028-29,NBA contract,,,41754636,41754636,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,47940508,,0,0,0
1630532,2029-30,NBA contract,,,41754636,41754636,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,51033444,,0,0,0
1631094,2026-27,NBA contract,,,41240250,41240250,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,41240250,,0,0,0
1631094,2027-28,NBA contract,,,41240250,41240250,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,44539470,,0,0,0
1631094,2028-29,NBA contract,,,41240250,41240250,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,47838690,,0,0,0
1631094,2029-30,NBA contract,,,41240250,41240250,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,51137910,,0,0,0
1630217,2026-27,NBA contract,,,39446090,39446090,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,39446090,,0,0,0
1630217,2027-28,NBA contract,,,39446090,39446090,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,42166510,,0,0,0
1630217,2028-29,NBA contract,,,39446090,39446090,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,44886930,,0,0,0
1630591,2026-27,NBA contract,,,32400000,32400000,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,32400000,,0,0,0
1630591,2027-28,NBA contract,,,32400000,32400000,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,29600000,,0,0,0
1630591,2028-29,NBA contract,,,32400000,32400000,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,26800000,,0,0,0
1630591,2029-30,NBA contract,,,32400000,32400000,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,26700000,,0,0,0
1628371,2026-27,NBA contract,,,11524115,11524115,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,11524115,,0,0,0
1641710,2026-27,NBA contract,,,10105996,10105996,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,10105996,,0,0,0
1641710,2027-28,NBA contract,,,10105996,10105996,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,14491998,,0,0,0
1629048,2026-27,NBA contract,,,7608696,7608696,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,7608696,,0,0,0
1641783,2026-27,NBA contract,,,3991200,3991200,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,3991200,,0,0,0
1641783,2027-28,NBA contract,,,3991200,3991200,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,6138466,,0,1,0
1641783,2028-29,NBA contract,,,3991200,3991200,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/orlando-magic/19/,9324329,,0,0,0
